cell_id,sample_id,manuscript_id,condition,n_counts,n_genes,pct_mt,length,leiden_geneformer
c000000,HIP043,H4,Healthy,5130,2222,5.594541910331384,2048,5
c000001,HIP043,H4,Healthy,5556,2240,6.263498920086393,2048,5
c000002,HIP043,H4,Healthy,5901,2259,3.897644467039485,2048,5
c000003,HIP043,H4,Healthy,5727,2260,5.570106513008556,2048,5
c000004,HIP043,H4,Healthy,5497,2256,5.966891031471712,2048,5
c000005,HIP043,H4,Healthy,5709,2244,6.148187073042564,2048,5
c000006,S556,C2,COVID-19,5808,2232,4.648760330578512,2048,5
c000007,S557,C3,COVID-19,6650,2231,4.496240601503759,2048,5
c000008,S557,C3,COVID-19,5509,2229,7.986930477400617,2048,5
c000009,S557,C3,COVID-19,4621,2241,4.847435619995672,2048,5
c000010,S557,C3,COVID-19,5720,2233,5.4020979020979025,2048,5
c000011,S557,C3,COVID-19,5316,2244,4.74040632054176,2048,5
c000012,S557,C3,COVID-19,6313,2243,5.0213844447964515,2048,5
c000013,S557,C3,COVID-19,6077,2250,6.812571992759585,2048,5
c000014,S557,C3,COVID-19,5578,2252,2.814628899247042,2048,5
c000015,S557,C3,COVID-19,5140,2257,4.6498054474708175,2048,5
c000016,S557,C3,COVID-19,5294,2258,3.0978466188137515,2048,5
c000017,S557,C3,COVID-19,5354,2279,5.9208068733657075,2048,5
c000018,S557,C3,COVID-19,6069,2283,4.498269896193771,2048,5
c000019,S557,C3,COVID-19,5844,2272,2.9603011635865846,2048,5
c000020,S558,C4,COVID-19,6379,2235,10.189684903589905,2048,5
c000021,S558,C4,COVID-19,5271,2250,3.9840637450199203,2048,5
c000022,S558,C4,COVID-19,6105,2252,3.7346437346437344,2048,5
c000023,S558,C4,COVID-19,5135,2257,4.712755598831548,2048,5
c000024,S557,C3,COVID-19,5075,2217,3.9211822660098523,2046,5
c000025,S557,C3,COVID-19,5680,2248,4.823943661971831,2042,5
c000026,S557,C3,COVID-19,5035,2249,3.9126117179741806,2042,5
c000027,HIP043,H4,Healthy,5743,2247,7.400313425039178,2039,5
c000028,S557,C3,COVID-19,7235,2248,8.306841741534209,2036,5
c000029,S556,C2,COVID-19,5857,2222,3.0561721017585795,2035,5
c000030,S557,C3,COVID-19,5607,2197,3.2637774210807917,2033,5
c000031,S558,C4,COVID-19,5489,2218,6.831845509200218,2033,5
c000032,HIP043,H4,Healthy,5252,2217,4.531607006854531,2032,5
c000033,S557,C3,COVID-19,4820,2214,5.04149377593361,2032,5
c000034,S557,C3,COVID-19,5783,2240,3.821545910427114,2031,5
c000035,S558,C4,COVID-19,5696,2214,5.986657303370786,2030,5
c000036,S557,C3,COVID-19,5833,2223,8.074747128407338,2021,5
c000037,S558,C4,COVID-19,5018,2200,5.001992825827022,2021,5
c000038,S558,C4,COVID-19,9685,2204,2.4883840991223543,2015,5
c000039,S557,C3,COVID-19,4862,2191,4.09296585767174,2014,5
c000040,S558,C4,COVID-19,5005,2207,5.674325674325674,2011,5
c000041,HIP043,H4,Healthy,5279,2192,5.985982193597272,2008,5
c000042,HIP043,H4,Healthy,5928,2232,5.786099865047233,2008,5
c000043,HIP043,H4,Healthy,5317,2180,5.905585856686101,2004,5
c000044,S557,C3,COVID-19,6409,2178,4.946169449212046,2004,5
c000045,HIP043,H4,Healthy,5268,2176,5.808656036446469,2003,5
c000046,S556,C2,COVID-19,5820,2170,4.759450171821306,1997,5
c000047,S558,C4,COVID-19,4811,2162,4.344211182706298,1996,5
c000048,HIP043,H4,Healthy,5313,2184,5.740636175418784,1993,5
c000049,S557,C3,COVID-19,4896,2175,3.6356209150326797,1993,5
c000050,S558,C4,COVID-19,4435,2171,4.6223224351747465,1990,5
c000051,S557,C3,COVID-19,6402,2175,2.9678225554514213,1987,5
c000052,S558,C4,COVID-19,4690,2128,4.136460554371002,1987,5
c000053,S558,C4,COVID-19,4952,2143,6.805331179321486,1987,5
c000054,S556,C2,COVID-19,5792,2149,3.5566298342541436,1986,5
c000055,S557,C3,COVID-19,5928,2182,4.622132253711201,1985,5
c000056,S557,C3,COVID-19,6454,2173,5.903315773163929,1985,5
c000057,S557,C3,COVID-19,5148,2166,3.651903651903652,1984,5
c000058,S557,C3,COVID-19,6561,2174,4.084743179393385,1983,5
c000059,S556,C2,COVID-19,4755,2174,3.911671924290221,1980,5
c000060,S557,C3,COVID-19,5971,2149,4.7898174510132305,1977,5
c000061,S558,C4,COVID-19,4781,2154,4.517883288015059,1975,5
c000062,S557,C3,COVID-19,5148,2173,3.6907536907536906,1974,5
c000063,S557,C3,COVID-19,4890,2158,5.132924335378323,1973,5
c000064,S557,C3,COVID-19,6301,2158,7.522615457863831,1969,5
c000065,S558,C4,COVID-19,5141,2147,3.8708422485897684,1965,5
c000066,S557,C3,COVID-19,4785,2141,3.5318704284221525,1963,5
c000067,S557,C3,COVID-19,5380,2140,3.828996282527881,1962,5
c000068,S557,C3,COVID-19,5163,2151,2.7309703660662406,1961,5
c000069,S557,C3,COVID-19,5470,2150,3.4552102376599634,1961,5
c000070,S558,C4,COVID-19,4794,2131,5.7363370880267,1961,5
c000071,HIP043,H4,Healthy,5188,2130,6.341557440246723,1960,5
c000072,S557,C3,COVID-19,5316,2158,6.64033107599699,1960,5
c000073,S557,C3,COVID-19,5850,2141,7.435897435897436,1959,5
c000074,S557,C3,COVID-19,5105,2168,4.857982370225269,1958,5
c000075,HIP043,H4,Healthy,5013,2154,6.1839218033113905,1957,5
c000076,S556,C2,COVID-19,5768,2138,8.78987517337032,1955,5
c000077,S556,C2,COVID-19,5661,2143,5.264087617028793,1954,5
c000078,S557,C3,COVID-19,6076,2148,3.8841342988808427,1954,5
c000079,S557,C3,COVID-19,5929,2134,4.300893911283522,1951,5
c000080,S557,C3,COVID-19,5628,2121,5.223880597014926,1950,5
c000081,S557,C3,COVID-19,4900,2129,3.816326530612245,1949,5
c000082,S558,C4,COVID-19,5332,2122,5.663915978994749,1948,5
c000083,HIP043,H4,Healthy,5079,2122,6.0051191179366015,1946,5
c000084,S558,C4,COVID-19,5216,2107,5.598159509202454,1946,5
c000085,HIP043,H4,Healthy,5143,2099,10.49970834143496,1945,5
c000086,S557,C3,COVID-19,5726,2125,3.4055186866922806,1945,5
c000087,S558,C4,COVID-19,5107,2077,4.601527315449383,1945,5
c000088,HIP043,H4,Healthy,4656,2123,6.765463917525773,1944,5
c000089,S558,C4,COVID-19,6607,2129,5.812017557136371,1944,5
c000090,S557,C3,COVID-19,5237,2148,12.35440137483292,1943,5
c000091,S558,C4,COVID-19,5028,2136,6.26491646778043,1942,5
c000092,S558,C4,COVID-19,4331,2113,3.5095820826598936,1941,5
c000093,S557,C3,COVID-19,5572,2110,6.837760229720029,1939,5
c000094,S557,C3,COVID-19,5843,2130,5.6991271607051175,1939,5
c000095,HIP043,H4,Healthy,5531,2110,7.919001988790454,1938,5
c000096,HIP043,H4,Healthy,4939,2101,4.110143753796315,1937,5
c000097,HIP043,H4,Healthy,4976,2110,8.239549839228296,1937,5
c000098,S556,C2,COVID-19,5442,2113,3.5648658581403896,1937,5
c000099,S557,C3,COVID-19,5401,2115,6.813553045732272,1937,5
c000100,HIP043,H4,Healthy,4842,2112,8.921933085501859,1936,5
c000101,S558,C4,COVID-19,4603,2098,5.996089506843363,1936,5
c000102,S557,C3,COVID-19,4920,2096,4.715447154471545,1932,5
c000103,S557,C3,COVID-19,4839,2115,3.8024385203554454,1932,5
c000104,S557,C3,COVID-19,4263,2093,5.395261552897021,1931,5
c000105,S557,C3,COVID-19,6401,2093,3.296359943758788,1931,5
c000106,S557,C3,COVID-19,4813,2094,11.240390608767921,1931,5
c000107,S556,C2,COVID-19,4764,2096,3.6314021830394627,1928,5
c000108,HIP043,H4,Healthy,4315,2097,5.098493626882966,1927,5
c000109,S558,C4,COVID-19,5104,2099,4.702194357366771,1927,5
c000110,S558,C4,COVID-19,5156,2097,3.878975950349108,1925,5
c000111,S558,C4,COVID-19,4965,2068,7.17019133937563,1924,5
c000112,S558,C4,COVID-19,4680,2076,6.047008547008547,1924,5
c000113,HIP043,H4,Healthy,4324,2084,6.174838112858464,1922,5
c000114,S558,C4,COVID-19,4536,2069,4.982363315696649,1922,5
c000115,HIP043,H4,Healthy,5286,2108,10.783200908059024,1921,5
c000116,S558,C4,COVID-19,4946,2088,5.196118075212293,1921,5
c000117,S557,C3,COVID-19,4921,2093,5.3038000406421455,1920,5
c000118,HIP043,H4,Healthy,5771,2080,5.960838676139317,1919,5
c000119,S558,C4,COVID-19,4849,2074,3.588368735821819,1919,5
c000120,S557,C3,COVID-19,5598,2077,4.144337263308325,1918,5
c000121,S557,C3,COVID-19,4725,2105,4.888888888888889,1917,5
c000122,S557,C3,COVID-19,5347,2118,3.7217131101552274,1915,5
c000123,S557,C3,COVID-19,5006,2095,4.155013983220136,1914,5
c000124,S557,C3,COVID-19,4826,2090,4.745130542892665,1910,5
c000125,S557,C3,COVID-19,5011,2077,3.8914388345639592,1906,5
c000126,S557,C3,COVID-19,4742,2069,5.1455082243779,1905,5
c000127,S557,C3,COVID-19,5552,2081,4.484870317002882,1905,5
c000128,S558,C4,COVID-19,8070,2039,2.8500619578686495,1901,5
c000129,HIP043,H4,Healthy,4482,2083,5.198572066041946,1899,5
c000130,HIP043,H4,Healthy,4257,2073,4.886070002349072,1898,5
c000131,S557,C3,COVID-19,5213,2065,4.105121810857471,1898,5
c000132,S557,C3,COVID-19,4322,2074,3.054141601110597,1895,5
c000133,S558,C4,COVID-19,4791,2057,5.760801502817784,1895,5
c000134,S557,C3,COVID-19,8061,2088,3.659595583674482,1892,5
c000135,S556,C2,COVID-19,5275,2054,5.232227488151659,1890,5
c000136,S557,C3,COVID-19,5238,2048,3.226422298587247,1890,5
c000137,S557,C3,COVID-19,4625,2095,4.2594594594594595,1889,5
c000138,S556,C2,COVID-19,4733,2052,4.500316923727023,1888,5
c000139,S557,C3,COVID-19,5241,2067,3.11009349360809,1888,5
c000140,S558,C4,COVID-19,4569,2063,3.129787699715474,1888,5
c000141,S557,C3,COVID-19,5686,2069,3.8515652479774887,1887,5
c000142,S558,C4,COVID-19,4611,2058,6.657991758837563,1887,5
c000143,S558,C4,COVID-19,5018,2068,5.0418493423674775,1887,5
c000144,HIP043,H4,Healthy,4527,2076,6.958250497017892,1882,5
c000145,S558,C4,COVID-19,5182,2032,9.011964492473949,1881,5
c000146,S557,C3,COVID-19,5315,2069,4.176857949200376,1880,5
c000147,S558,C4,COVID-19,4286,2030,4.2930471301913204,1880,5
c000148,S557,C3,COVID-19,4975,2042,6.110552763819095,1878,5
c000149,S558,C4,COVID-19,4486,2027,7.4230940704413735,1878,5
c000150,S557,C3,COVID-19,4546,2045,4.443466783985921,1876,5
c000151,S557,C3,COVID-19,5056,2060,5.162183544303797,1876,5
c000152,S557,C3,COVID-19,4784,2025,5.037625418060201,1873,5
c000153,S557,C3,COVID-19,5914,2031,3.5339871491376393,1872,5
c000154,S557,C3,COVID-19,4684,2018,2.69000853970965,1870,5
c000155,S557,C3,COVID-19,5530,2057,3.634719710669078,1870,5
c000156,S557,C3,COVID-19,4408,2039,3.266787658802178,1868,5
c000157,S557,C3,COVID-19,5094,2057,3.5335689045936394,1868,5
c000158,S558,C4,COVID-19,5013,2017,6.7424695790943545,1868,5
c000159,S557,C3,COVID-19,5773,2026,3.6376234193660144,1866,5
c000160,S557,C3,COVID-19,4680,2019,5.170940170940171,1864,5
c000161,S557,C3,COVID-19,5248,2041,5.46875,1864,5
c000162,S557,C3,COVID-19,4826,2012,6.796518856195607,1862,5
c000163,HIP043,H4,Healthy,4763,2021,8.335082930925887,1860,5
c000164,S557,C3,COVID-19,4859,2034,5.433216711257461,1860,5
c000165,HIP043,H4,Healthy,4999,2022,4.700940188037608,1857,5
c000166,HIP043,H4,Healthy,4832,2026,7.822847682119205,1857,5
c000167,S557,C3,COVID-19,4975,2039,3.577889447236181,1857,5
c000168,S556,C2,COVID-19,5239,2029,8.856652032830693,1854,5
c000169,S557,C3,COVID-19,5806,2025,9.042369962108165,1854,5
c000170,S556,C2,COVID-19,4087,2024,6.141424027403964,1853,5
c000171,S557,C3,COVID-19,6175,2025,3.4979757085020244,1852,5
c000172,S558,C4,COVID-19,4528,2006,8.8339222614841,1852,5
c000173,S558,C4,COVID-19,4766,2021,6.336550566512799,1852,5
c000174,HIP043,H4,Healthy,4981,2043,7.488456133306565,1851,5
c000175,S558,C4,COVID-19,4810,2000,4.220374220374221,1851,5
c000176,HIP043,H4,Healthy,4524,2058,4.111405835543766,1850,5
c000177,S557,C3,COVID-19,5379,2004,5.093883621490983,1848,5
